"EAGLE -Title  Revised: Thursday, September 14, 2017"												
870-00135-00          Revision: B0												
												
												
												
												
												
												
												
"Bill Of Materials      September 19,2017      20:23:11"	Page1											
												
Item	Quantity	Reference	Part	BIN#	Description	Manuf	ManPartNum	Manuf2	ManPartNum2	Package	Height	ROHS
98	1	Q30	FDS6690A	422	MOSFET N-CH 30V 11A 8-SOIC	Diodes Inc	DMG4406LSS-13	Fairchild Semi	FDS6690A	SOIC127P600X175-8N	1.12	Y
99	23	"Q1,Q2,Q3,Q4,Q5,Q6,Q15,Q20,Q24,Q29,Q35,Q38,Q41,Q42,Q43,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53"	MMBT3904LT1	423	TRANSISTOR HI-VOLT NPN SOT-23	Diodes Inc	MMBT3904-7F 	Infineon 	MMBT3904LT1	MMBT3904LT1	1	Y
100	1	BT1	BAT_BR1225_1VC	427	BATTERY LITH 12.5MM COIN W\LEGS	PANASONIC	BR-1225/VCN			BAT_BR1225_1VC	12.5	Y
101	2	"SW1,SW2"	KT11B1SM34LFS	430	switch tact spst-no 1VA 32V	C&K Components	KT11B1SM34LFS			PSHB_SWITCH_KT11B1SM	3.48	Y
102	1	CON38	0826-1X1T-23-F	435	MAGJACK 1PORT GO/Y LEDS 1GBT	Belfuse	0826-1X1T-23-F			0826-1X1T-23-F	13.61	Y
103	4	"J1,J4,J6,J7"	22-28-4023	446	"HDR MALE, 1X2 VERT TH  2.54 MM "	MOLEX	22-28-4023			22-28-4023	0.24	Y
104	1	CON39	39-29-9242	451	CONN ATX HDR 24POS 4.2MM VERT TIN	Molex	39-29-9242			39-29-9242	12.8	Y
105	2	"CON21,CON23"	5607-5102-SH	457	CONN PLUG SATA 7PS VERT PCB GOLD	3M	5607-5102-SH			5607-5102-SH	11.5	Y
106	2	"J2,J9"	98401-401-10	466	"HDR MALE, 2X5 VERT SM w/guide  2.54 MM "	FCI	98401-801-10LF		 15-91-0100/140-3078-01XSE	HDR_2X5_2MM54_VT_SM_G	9.25	Y
107	2	"CON48,CON51"	98401-801-20	468	CONN HEADER 2X10 VERT TH 2.54 MM TIN-LEAD	Molex	15-91-0200	FCI	98401-801-20	98401-801-20	10.2	Y
108	1	CON29	ASP-130367-01	470	AppSpecificConnector	Samtec	ASP-130367-01			ASP-130367-01		Y
109	2	"CON25,CON30"	HDR_1X3_2MM54_VT_TH	480	"HDR MALE, 1X3 VERT TH  2.54 MM "	MOLEX	22-28-4033			22-28-4033	0.24	Y
