''	BIN#	Description	Manuf	ManPartNum	Manuf2	ManPartNum2	Package	Height	ROHS	Note160803	TMA_COST	PL_COST	CostTMA_170921	CostPL_170921	Ucost	Cost1	Break2	Cost2	Reel	CostReel	Ucost	DSTR	PartNum	Qty	Price	Date	BB3B1_82	BB3C_8	SydneyRevC_122	TMA-043_80	TSrevC_40	RNS_B_8	TMA-054_10	Nuvola_8	SydneyD_8	RTK_8	BB3B1_50	BMC	RP1_12	TMA55_6	RTK0EN_4	BP1_6	OspreyA1	EagleA2	R170727	B170921	BMC_140	OSPa1_146	B170921_1200	EagleB0_10	B170921_1200	
'5.6nF_0402'	26	CAP, 5600pF, X7R, 25V, 10%,0402	MURATA	GRM155R71H562KA01D	Venkel	C0402X7R250-562KNP	CAP0402	0.3	Y		0.0013 	0.0000 	10.48 	0.00 	0.00131	venkel	C0402X7R250-562KNP	10000	13.1	130123							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	8000	8000	0 	0	8000 	0	8000 	
'6.8nF_0402'	27	CAP, 6800pF, X7R, 25V, 10%,0402	MURATA	GRM155R71H682KA01D	Venkel	C0402X7R250-682KNP	CAP0402	0.3	Y		0.0000 	0.0160 	0.00 	141.66 		0.02	1000	0.016	10000	0.0013							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	1	1 	9000	9000	0 	1	8854 	0	8854 	
'0.01uF_0402'	28	CAP, .01uF, X7R, 25V, 10%, 0402	Yageo	CC0402KRX7R8BB103			CAP0402	0.5	Y		0.0021 	0.0000 	201.96 	0.00 	0.00208	Venkel	C0402X7R160-103KNE	100000	208	141201							4	4	44	0 	108 	44	6	0	35	42	4	5	0 	7 	26	0 	64	105 	107900	107900	5 	64	97856 	76	97096 	
'0.1uF_0402'	29	CAP.1uF X7R 16V 10% 0402	Murata	GRM155R71C104KA88D	Venkel	C0402X7R160-104KNE	CAP0402	0.3	Y		0.0008 	0.0000 	38.84 	0.00 	0.00075	Venkel	C0402X7R160-104KNE	30000	22.5	150420	0.00075	venkel	C0402X7R160-104KNE	100000	75.00000	151215	546	429	246	51 	224 	145	49	74	269	135	546	39	24 	179 	137	48 	234	251 	93600	93600	39 	234	53976 	219	51786 	
'0.22uF_0402'	30	CAP, .22uF, X7R, 16V, 10%, 0402	MURATA	GRM155R71C224KA88D			CAP0402	0.3	Y		0.0062 	0.0000 	49.77 	0.00 	0.0029	Venkel	C0402X7R160-224KNE	30000	87 	161006	0.0062	fe	GRM155R71C224KA12D	10000	62	170914	34	0	5	0 	64 	50	0	0	8	76	34	0	64 	56 	76	0 	127	127 	18000	28000	0 	127	9458 	143	8028 	
'0.47uF_10V_0402'	T31	CAP CER 0.47UF 10V 10% X5R 0402	Murata	GRM155R61A474KE15D			CAP0402	0.55	Y	REMOVED	0.0000 	0.0220 	0.00 	0.00 		0.12	1000	0.022	10000	0.0153							0	0	9	0 	22 	0	0	0	12	0	0	3	0 	0 	0	0 	38	0 		0	0 	0	0 	0	0 	
'1uF_6V3_0402'	32	CAP CER 1.0UF 6.3V X5R 20% 0402	TDK	C1005X5R0J105M050BB	Venkel	C0402X5R6R3-105MNP	CAP0402	0.55	Y		0.0014 	0.0000 	43.91 	0.00 	0.0014	Venkel	C0402X5R6R3-105MNP	10000	14.00	150810	0.0014	venkel	C0402X5R6R3-105MNP	100000	140	151215	148	136	56	9 	101 	63	8	5	49	62	148	34	4 	83 	58	2 	96	96 	57400	57400	37 	134	32656 	129	31366 	
'2.2uF_4V_0402'	33	CAP CER 2.2UF 4V X5R 0402	Taiyo Yuden	MK105BJ225MV-F	Venkel	C0402X5R4R0-225MNP	CAP0402	0.55	Y		0.0098 	0.0000 	97.22 	0.00 	0.0098	Venkel	C0402X5R4R0-225MNP	10000	98.40	150810	0.00984	Venkel	C0402X5R4R0-225MNP	10000	98.4	170914	6	6	21	0 	20 	50	0	0	21	50	6	0	0 	31 	53	0 	20	20 	3000	13000	0 	20	10080 	20	9880 	
'4.7uF_4V_0402'	34	CAP CER 4.7UF 4V X5R 0402	Taiyo Yuden	MK105BJ475MV-F	Venkel	C0402X5R4R0-475MNP	CAP0402	0.55	Y		0.0107 	0.0000 	45.22 	0.00 	0.01069	Venkel	C0402X5R4R0-475MNP	10000	107 	161006	0.01069	Venkel	C0402X5R4R0-475MNP	10000	106.9	170914	6	6	66	0 	142 	51	0	0	66	51	6	0	0 	64 	53	3 	45	45 	1200	11200	0 	45	4630 	40	4230 	
'20pF_0603'	35	CAP CER 20PF 50V 5% NPO 0603	Yageo	CC0603JRNPO9BN200			CAP0603	0.55	Y	USED ON OSPA1_146, balance 39pF_0603	0.0000 	0.0075 	0.00 	0.00 		0.0138	1000	0.00753	4000	0.00577							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	14	14 	500	500	0 	14	0 	0		
